system:index,akurasi,generatif,iddesa,nonsawah,persiapan,vegetatif1,vegetatif2,.geo
628,0.988,16.055469178706137,5102020001,65.15034590530698,36.519432362862354,111.4975006818937,44.98973549065096,"{""type"":""MultiPoint"",""coordinates"":[]}"
629,0.988,45.12250072354171,5102020002,57.532430034634395,33.58944362877936,82.5337710398949,50.940073794507626,"{""type"":""MultiPoint"",""coordinates"":[]}"
630,0.988,18.143879736352048,5102030008,33.86971257586314,74.33103645313925,68.69028763115386,40.46606695015706,"{""type"":""MultiPoint"",""coordinates"":[]}"
631,0.988,13.328034985399427,5102030009,11.972723097869277,38.701740435336156,53.552335545833756,13.267027928251386,"{""type"":""MultiPoint"",""coordinates"":[]}"
632,0.988,1.3385082819321579,5102030006,12.086955845300977,14.752691715028025,10.819638916362672,9.29570282161936,"{""type"":""MultiPoint"",""coordinates"":[]}"
633,0.988,8.402271783279735,5102030007,13.851342922219683,30.563613822320686,53.55904230216242,22.012449799110538,"{""type"":""MultiPoint"",""coordinates"":[]}"
634,0.988,12.956592068900285,5102030011,44.36677116161879,36.43261543839999,98.8422156587736,47.49915163842302,"{""type"":""MultiPoint"",""coordinates"":[]}"
635,0.988,6.441386660216089,5102030012,15.843457302772668,26.4709820032217,52.198590811372696,34.37573298422417,"{""type"":""MultiPoint"",""coordinates"":[]}"
636,0.988,10.365839169897939,5102030010,34.092202024763495,35.58648334616268,86.28403144780184,37.00206698676607,"{""type"":""MultiPoint"",""coordinates"":[]}"
637,0.988,9.721088329659251,5102030004,15.004914962816427,14.060654967842847,36.387760320518325,24.128387773700776,"{""type"":""MultiPoint"",""coordinates"":[]}"
638,0.988,1.815612675051222,5102030005,12.571455412286507,8.80645576808556,9.326288555106382,3.257185008856081,"{""type"":""MultiPoint"",""coordinates"":[]}"
639,0.988,32.78712014866251,5102030002,73.84401514235535,45.2723878672881,92.65498243664307,74.1431987958241,"{""type"":""MultiPoint"",""coordinates"":[]}"
640,0.988,35.95088366240851,5102030003,46.99217099887021,61.60707056615489,62.09087615014169,38.568924860552634,"{""type"":""MultiPoint"",""coordinates"":[]}"
641,0.988,49.474537101081346,5102030001,139.00228190774382,95.4766961812936,168.2165974548474,129.4852586397776,"{""type"":""MultiPoint"",""coordinates"":[]}"
642,0.988,0.7443841715016085,5102040009,9.383122817885459,9.199741645663394,17.124364527348597,14.549621026036913,"{""type"":""MultiPoint"",""coordinates"":[]}"
643,0.988,24.024128994391948,5102040007,59.62840719277771,40.63144381214805,89.98927795971433,18.76527098364733,"{""type"":""MultiPoint"",""coordinates"":[]}"
644,0.988,16.919618296712244,5102040008,40.78672713787013,60.39039861251546,91.06680285602629,14.707454024454737,"{""type"":""MultiPoint"",""coordinates"":[]}"
645,0.988,13.875080425618496,5102040005,26.490757332703843,36.53202673619887,56.978496126194344,22.5611365464394,"{""type"":""MultiPoint"",""coordinates"":[]}"
646,0.988,31.09906899972957,5102040006,47.016337127482096,64.13004533461636,108.86691561489957,69.78136141435206,"{""type"":""MultiPoint"",""coordinates"":[]}"
647,0.988,39.70510182686598,5102040014,43.27271745624619,35.722749633980534,74.49045887033482,64.63557246935085,"{""type"":""MultiPoint"",""coordinates"":[]}"
648,0.988,20.941481215030453,5102040015,70.81774650658696,53.8542461866191,97.34804833874261,65.87596428112539,"{""type"":""MultiPoint"",""coordinates"":[]}"
649,0.988,21.02036139644849,5102040012,78.22591957043207,29.654607067894975,73.98986074179274,53.36525078468478,"{""type"":""MultiPoint"",""coordinates"":[]}"
